Ref,overall
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,-1
15,0
16,0
17,0
18,0
19,-1
20,0
21,0
22,0
23,-1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,-1
35,0
36,-1
37,0
38,0
39,0
40,-1
41,0
42,-1
43,0
44,-1
45,-1
46,-1
47,0
48,0
49,0
50,0
51,0
52,0
53,-1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,-1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,-1
72,0
73,-1
74,0
75,0
76,0
77,0
78,-1
79,0
80,0
81,0
82,0
83,0
84,-1
85,0
86,0
87,0
88,0
89,-1
90,0
91,0
92,0
93,0
94,-1
95,0
96,0
97,0
98,0
99,0
100,-1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,-1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,-1
132,1
133,-1
134,0
135,-1
136,-1
137,0
138,-1
139,-1
140,-1
141,-1
142,0
143,0
144,0
145,0
146,0
147,-1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,-1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,-1
175,0
176,0
177,-1
178,0
179,0
180,-1
181,0
182,1
183,-1
184,0
185,0
186,0
187,0
188,-1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,-1
198,0
199,0
200,0
201,0
202,-1
203,0
204,-1
205,0
206,0
207,0
208,0
209,-1
210,0
211,0
212,0
213,0
214,-1
215,0
216,-1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,-1
226,-1
227,0
228,0
229,0
230,0
231,0
232,0
233,-1
234,0
235,-1
236,0
237,0
238,0
239,0
240,-1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,-1
266,-1
267,0
